Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2002,1,13,7,2231,2235,2342,2353,US,723,N709äæ,71,78,55,-11,-4,PIT,CLT,366,3,13,0,NA,0,NA,NA,NA,NA,NA
2002,1,14,1,2230,2235,2347,2353,US,723,N733äæ,77,78,60,-6,-5,PIT,CLT,366,3,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,15,2,2230,2235,2342,2353,US,723,N758äæ,72,78,55,-11,-5,PIT,CLT,366,3,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,16,3,2230,2235,2340,2353,US,723,N707äæ,70,78,57,-13,-5,PIT,CLT,366,3,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,17,4,2227,2235,2345,2353,US,723,N713äæ,78,78,60,-8,-8,PIT,CLT,366,5,13,0,NA,0,NA,NA,NA,NA,NA
2002,1,18,5,2227,2235,2346,2353,US,723,N722äæ,79,78,59,-7,-8,PIT,CLT,366,5,15,0,NA,0,NA,NA,NA,NA,NA
2002,1,19,6,2234,2235,2347,2353,US,723,N705äæ,73,78,56,-6,-1,PIT,CLT,366,4,13,0,NA,0,NA,NA,NA,NA,NA
2002,1,20,7,2233,2235,2346,2353,US,723,N749äæ,73,78,59,-7,-2,PIT,CLT,366,5,9,0,NA,0,NA,NA,NA,NA,NA
2002,1,21,1,2228,2235,2341,2353,US,723,N701äæ,73,78,57,-12,-7,PIT,CLT,366,4,12,0,NA,0,NA,NA,NA,NA,NA
2002,1,22,2,2230,2235,2351,2353,US,723,N745äæ,81,78,63,-2,-5,PIT,CLT,366,5,13,0,NA,0,NA,NA,NA,NA,NA
2002,1,23,3,2228,2235,2346,2353,US,723,N723äæ,78,78,62,-7,-7,PIT,CLT,366,5,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,24,4,2230,2235,2349,2353,US,723,N720äæ,79,78,65,-4,-5,PIT,CLT,366,4,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,25,5,2225,2235,2340,2353,US,723,N710äæ,75,78,55,-13,-10,PIT,CLT,366,4,16,0,NA,0,NA,NA,NA,NA,NA
2002,1,26,6,2232,2235,2339,2353,US,723,N714äæ,67,78,50,-14,-3,PIT,CLT,366,8,9,0,NA,0,NA,NA,NA,NA,NA
2002,1,27,7,2231,2235,2341,2353,US,723,N746äæ,70,78,52,-12,-4,PIT,CLT,366,4,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,28,1,2232,2235,2338,2353,US,723,N743äæ,66,78,53,-15,-3,PIT,CLT,366,3,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,29,2,2229,2235,2337,2353,US,723,N743äæ,68,78,54,-16,-6,PIT,CLT,366,3,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,30,3,2231,2235,2341,2353,US,723,N711äæ,70,78,54,-12,-4,PIT,CLT,366,4,12,0,NA,0,NA,NA,NA,NA,NA
2002,1,31,4,2237,2235,2349,2353,US,723,N708äæ,72,78,55,-4,2,PIT,CLT,366,7,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,6,7,740,745,906,912,US,724,N385äâ,86,87,65,-6,-5,PHL,CLE,363,7,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,7,1,744,745,904,912,US,724,N528Aä,80,87,61,-8,-1,PHL,CLE,363,8,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,8,2,742,745,913,912,US,724,N373äâ,91,87,67,1,-3,PHL,CLE,363,9,15,0,NA,0,NA,NA,NA,NA,NA
2002,1,9,3,740,745,914,912,US,724,N384äâ,94,87,73,2,-5,PHL,CLE,363,6,15,0,NA,0,NA,NA,NA,NA,NA
2002,1,10,4,740,745,910,912,US,724,N505Aä,90,87,73,-2,-5,PHL,CLE,363,6,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,11,5,744,745,911,912,US,724,N346äâ,87,87,65,-1,-1,PHL,CLE,363,6,16,0,NA,0,NA,NA,NA,NA,NA
2002,1,12,6,740,745,905,912,US,724,N518Aä,85,87,64,-7,-5,PHL,CLE,363,7,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,13,7,805,745,948,912,US,724,N576äâ,103,87,64,36,20,PHL,CLE,363,6,33,0,NA,0,NA,NA,NA,NA,NA
2002,1,14,1,759,745,939,912,US,724,N349äâ,100,87,62,27,14,PHL,CLE,363,7,31,0,NA,0,NA,NA,NA,NA,NA
2002,1,15,2,743,745,906,912,US,724,N351äâ,83,87,67,-6,-2,PHL,CLE,363,5,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,16,3,739,745,905,912,US,724,N530Aä,86,87,71,-7,-6,PHL,CLE,363,5,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,17,4,748,745,920,912,US,724,N515Aä,92,87,75,8,3,PHL,CLE,363,7,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,18,5,745,745,917,912,US,724,N505Aä,92,87,75,5,0,PHL,CLE,363,6,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,19,6,740,745,910,912,US,724,N300Aä,90,87,71,-2,-5,PHL,CLE,363,7,12,0,NA,0,NA,NA,NA,NA,NA
2002,1,20,7,754,745,1009,912,US,724,N350äâ,135,87,67,57,9,PHL,CLE,363,4,64,0,NA,0,NA,NA,NA,NA,NA
2002,1,21,1,748,745,939,912,US,724,N393äâ,111,87,74,27,3,PHL,CLE,363,10,27,0,NA,0,NA,NA,NA,NA,NA
2002,1,22,2,744,745,911,912,US,724,N341äâ,87,87,68,-1,-1,PHL,CLE,363,5,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,23,3,741,745,908,912,US,724,N534Aä,87,87,71,-4,-4,PHL,CLE,363,5,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,24,4,752,745,939,912,US,724,N354äâ,107,87,76,27,7,PHL,CLE,363,5,26,0,NA,0,NA,NA,NA,NA,NA
2002,1,25,5,741,745,910,912,US,724,N527Aä,89,87,71,-2,-4,PHL,CLE,363,6,12,0,NA,0,NA,NA,NA,NA,NA
2002,1,26,6,741,745,907,912,US,724,N530Aä,86,87,64,-5,-4,PHL,CLE,363,7,15,0,NA,0,NA,NA,NA,NA,NA
2002,1,27,7,740,745,857,912,US,724,N560Aä,77,87,63,-15,-5,PHL,CLE,363,4,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,28,1,740,745,906,912,US,724,N515Aä,86,87,64,-6,-5,PHL,CLE,363,7,15,0,NA,0,NA,NA,NA,NA,NA
2002,1,29,2,738,745,909,912,US,724,N591äâ,91,87,67,-3,-7,PHL,CLE,363,6,18,0,NA,0,NA,NA,NA,NA,NA
2002,1,30,3,739,745,911,912,US,724,N352äâ,92,87,75,-1,-6,PHL,CLE,363,4,13,0,NA,0,NA,NA,NA,NA,NA
2002,1,31,4,744,745,913,912,US,724,N335äâ,89,87,73,1,-1,PHL,CLE,363,5,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,1,2,1619,1620,1751,1752,US,725,N504Aä,92,92,74,-1,-1,PIT,PVD,467,4,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,2,3,1624,1620,1810,1752,US,725,N559Aä,106,92,68,18,4,PIT,PVD,467,7,31,0,NA,0,NA,NA,NA,NA,NA
2002,1,3,4,1617,1620,1747,1752,US,725,N532Aä,90,92,76,-5,-3,PIT,PVD,467,4,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,4,5,1728,1620,1850,1752,US,725,N586äâ,82,92,70,58,68,PIT,PVD,467,4,8,0,NA,0,NA,NA,NA,NA,NA
2002,1,5,6,1617,1620,1736,1752,US,725,N719äæ,79,92,63,-16,-3,PIT,PVD,467,5,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,1,2,753,755,1018,1040,US,726,N740äæ,85,105,68,-22,-2,STL,PIT,553,6,11,0,NA,0,NA,NA,NA,NA,NA
2002,1,2,3,746,755,1023,1040,US,726,N712äæ,97,105,70,-17,-9,STL,PIT,553,7,20,0,NA,0,NA,NA,NA,NA,NA
2002,1,3,4,749,755,1034,1040,US,726,N766äæ,105,105,82,-6,-6,STL,PIT,553,6,17,0,NA,0,NA,NA,NA,NA,NA
2002,1,4,5,748,755,1031,1040,US,726,N737äæ,103,105,80,-9,-7,STL,PIT,553,5,18,0,NA,0,NA,NA,NA,NA,NA
2002,1,5,6,749,755,1027,1040,US,726,N766äæ,98,105,75,-13,-6,STL,PIT,553,6,17,0,NA,0,NA,NA,NA,NA,NA
2002,1,6,7,755,755,1048,1037,US,726,N717äæ,113,102,92,11,0,STL,PIT,553,6,15,0,NA,0,NA,NA,NA,NA,NA
2002,1,7,1,NA,755,NA,1037,US,726,äNKNOæ,NA,102,NA,NA,NA,STL,PIT,553,0,0,1,NA,0,NA,NA,NA,NA,NA
2002,1,8,2,751,755,1053,1037,US,726,N740äæ,122,102,87,16,-4,STL,PIT,553,9,26,0,NA,0,NA,NA,NA,NA,NA
2002,1,9,3,809,755,1042,1037,US,726,N765äæ,93,102,73,5,14,STL,PIT,553,7,13,0,NA,0,NA,NA,NA,NA,NA
2002,1,10,4,750,755,1023,1037,US,726,N715äæ,93,102,68,-14,-5,STL,PIT,553,6,19,0,NA,0,NA,NA,NA,NA,NA
2002,1,11,5,748,755,1033,1037,US,726,N713äæ,105,102,73,-4,-7,STL,PIT,553,7,25,0,NA,0,NA,NA,NA,NA,NA
2002,1,12,6,749,755,1026,1037,US,726,N737äæ,97,102,74,-11,-6,STL,PIT,553,6,17,0,NA,0,NA,NA,NA,NA,NA
2002,1,13,7,749,755,1029,1037,US,726,N707äæ,100,102,76,-8,-6,STL,PIT,553,5,19,0,NA,0,NA,NA,NA,NA,NA
2002,1,14,1,751,755,1022,1037,US,726,N727äæ,91,102,68,-15,-4,STL,PIT,553,6,17,0,NA,0,NA,NA,NA,NA,NA
2002,1,15,2,758,755,1034,1037,US,726,N730äæ,96,102,78,-3,3,STL,PIT,553,5,13,0,NA,0,NA,NA,NA,NA,NA
2002,1,16,3,750,755,1032,1037,US,726,N743äæ,102,102,70,-5,-5,STL,PIT,553,4,28,0,NA,0,NA,NA,NA,NA,NA
2002,1,17,4,755,755,1020,1037,US,726,N705äæ,85,102,61,-17,0,STL,PIT,553,7,17,0,NA,0,NA,NA,NA,NA,NA
2002,1,18,5,750,755,1027,1037,US,726,N744äæ,97,102,66,-10,-5,STL,PIT,553,9,22,0,NA,0,NA,NA,NA,NA,NA
2002,1,19,6,755,755,1029,1037,US,726,N764äæ,94,102,65,-8,0,STL,PIT,553,10,19,0,NA,0,NA,NA,NA,NA,NA
2002,1,20,7,752,755,1017,1037,US,726,N724äæ,85,102,65,-20,-3,STL,PIT,553,8,12,0,NA,0,NA,NA,NA,NA,NA
2002,1,21,1,750,755,1044,1037,US,726,N746äæ,114,102,80,7,-5,STL,PIT,553,7,27,0,NA,0,NA,NA,NA,NA,NA
2002,1,22,2,755,755,1032,1037,US,726,N768äæ,97,102,69,-5,0,STL,PIT,553,7,21,0,NA,0,NA,NA,NA,NA,NA
2002,1,23,3,749,755,1018,1037,US,726,N708äæ,89,102,71,-19,-6,STL,PIT,553,4,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,24,4,748,755,1036,1037,US,726,N714äæ,108,102,68,-1,-7,STL,PIT,553,5,35,0,NA,0,NA,NA,NA,NA,NA
2002,1,25,5,755,755,1037,1037,US,726,N768äæ,102,102,71,0,0,STL,PIT,553,7,24,0,NA,0,NA,NA,NA,NA,NA
2002,1,26,6,748,755,1023,1037,US,726,N705äæ,95,102,71,-14,-7,STL,PIT,553,7,17,0,NA,0,NA,NA,NA,NA,NA
2002,1,27,7,751,755,1018,1037,US,726,N726äæ,87,102,70,-19,-4,STL,PIT,553,7,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,28,1,758,755,1042,1037,US,726,N714äæ,104,102,73,5,3,STL,PIT,553,6,25,0,NA,0,NA,NA,NA,NA,NA
2002,1,29,2,747,755,1031,1037,US,726,N744äæ,104,102,75,-6,-8,STL,PIT,553,4,25,0,NA,0,NA,NA,NA,NA,NA
2002,1,30,3,749,755,1011,1037,US,726,N714äæ,82,102,67,-26,-6,STL,PIT,553,5,10,0,NA,0,NA,NA,NA,NA,NA
2002,1,31,4,752,755,1022,1037,US,726,N710äæ,90,102,68,-15,-3,STL,PIT,553,6,16,0,NA,0,NA,NA,NA,NA,NA
2002,1,6,7,934,935,1108,1118,US,728,N436äâ,94,103,73,-10,-1,CLT,BUF,546,7,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,7,1,934,935,1115,1118,US,728,N413äâ,101,103,76,-3,-1,CLT,BUF,546,5,20,0,NA,0,NA,NA,NA,NA,NA
2002,1,8,2,930,935,1114,1118,US,728,N444äâ,104,103,79,-4,-5,CLT,BUF,546,3,22,0,NA,0,NA,NA,NA,NA,NA
2002,1,9,3,929,935,1126,1118,US,728,N449äâ,117,103,90,8,-6,CLT,BUF,546,3,24,0,NA,0,NA,NA,NA,NA,NA
2002,1,10,4,931,935,1113,1118,US,728,N423äâ,102,103,85,-5,-4,CLT,BUF,546,2,15,0,NA,0,NA,NA,NA,NA,NA
2002,1,11,5,930,935,1109,1118,US,728,N405äâ,99,103,77,-9,-5,CLT,BUF,546,2,20,0,NA,0,NA,NA,NA,NA,NA
2002,1,12,6,930,935,1113,1118,US,728,N420äâ,103,103,79,-5,-5,CLT,BUF,546,4,20,0,NA,0,NA,NA,NA,NA,NA
2002,1,13,7,931,935,1114,1118,US,728,N442äâ,103,103,81,-4,-4,CLT,BUF,546,3,19,0,NA,0,NA,NA,NA,NA,NA
2002,1,14,1,935,935,1115,1118,US,728,N422äâ,100,103,71,-3,0,CLT,BUF,546,4,25,0,NA,0,NA,NA,NA,NA,NA
2002,1,15,2,932,935,1118,1118,US,728,N431äâ,106,103,77,0,-3,CLT,BUF,546,2,27,0,NA,0,NA,NA,NA,NA,NA
2002,1,16,3,932,935,1113,1118,US,728,N420äâ,101,103,78,-5,-3,CLT,BUF,546,3,20,0,NA,0,NA,NA,NA,NA,NA
2002,1,17,4,931,935,1113,1118,US,728,N411äâ,102,103,85,-5,-4,CLT,BUF,546,3,14,0,NA,0,NA,NA,NA,NA,NA
2002,1,18,5,931,935,1126,1118,US,728,N426äâ,115,103,85,8,-4,CLT,BUF,546,4,26,0,NA,0,NA,NA,NA,NA,NA
2002,1,19,6,947,935,1126,1118,US,728,N412äâ,99,103,69,8,12,CLT,BUF,546,2,28,0,NA,0,NA,NA,NA,NA,NA
2002,1,20,7,931,935,1115,1118,US,728,N427äâ,104,103,81,-3,-4,CLT,BUF,546,3,20,0,NA,0,NA,NA,NA,NA,NA
2002,1,21,1,955,935,1138,1118,US,728,N783Aä,103,103,75,20,20,CLT,BUF,546,4,24,0,NA,0,NA,NA,NA,NA,NA
2002,1,22,2,934,935,1121,1118,US,728,N781Aä,107,103,74,3,-1,CLT,BUF,546,3,30,0,NA,0,NA,NA,NA,NA,NA
2002,1,23,3,934,935,1107,1118,US,728,N439äâ,93,103,77,-11,-1,CLT,BUF,546,2,14,0,NA,0,NA,NA,NA,NA,NA
